Name,Age,Speed,Skill,Preference,Traits,Funding,Team,Chassis,Reliability,Supplier,Power,Strategy,Contract
C. Long,,,,,,,#68 - Fleur-de-lis Motorsports,,,Chevrolet,,,Guest
C. Wallace,,,,,,,#0  - JD Motorsports,,,Chevrolet,,,Guest
J. Clements,,,,,,,#04 - JD Motorsports,,,Chevrolet,,,Part-Time
T. Stewart,,,,,,,#4  - Kevin Harvick Inc.,,,Chevrolet,,,Guest
M. Green,,,,,,,#49 - Jay Robinson Racing,,,Chevrolet,,,Part-Time
S. McCurley,,,,,,,#51 - McCurley Racing,,,Chevrolet,,,Guest
J. Fuller,,,,,,,#97 - NEMCO Motorsports,,,Chevrolet,,,Guest
J. Buescher (R),,,,,,,#1  - Phoenix Racing,,,Chevrolet,,,Part-Time
S. Barrett,,,,,,,#31 - Rick Ware Racing,,,Chevrolet,,,Guest
P. Sellers,,,,,,,#25 - Sellers Racing,,,Chevrolet,,,Guest
K. Kelley,,,,,,,#59 - Team Kelley Racing,,,Chevrolet,,,Guest
K. Hamlin,,,,,,,#36 - Tri-Star Motorsports,,,Chevrolet,,,Part-Time
J. Chapman,,,,,,,#92 - K-Automotive Motorsports,,,Dodge,,,Insecure
D. Setzer,,,,,,,#96 - K-Automotive Motorsports,,,Dodge,,,Guest
M. Carter,,,,,,,#82 - MacDonald Motorsports,,,Dodge,,,Guest
D. Cope,,,,,,,#73 - Stratus Racing Group Inc.,,,Dodge,,,Part-Time
P. Kligerman,,,,,,,#42 - Team 42 Racing,,,Dodge,,,Part-Time
K. Swindell,,,,,,,#37 - Baker Curb Racing,,,Ford,,,Guest
J. Bowles,,,,,,,#39 - Go Green Racing,,,Ford,,,Part-Time
R. Hackett,,,,,,,#76 - Ray Hackett Racing,,,Ford,,,Guest
T. Andrews,,,,,,,#79 - 2nd Chance Motorsports,,,Ford,,,Guest
J. Wise,,,,,,,#61 - Specialty Racing,,,Ford,,,Part-Time
K. Bires,,,,,,,#25 - Team Rensi Motorsports,,,Ford,,,Guest
R. Truex,,,,,,,#00 - Diamond-Michael Waltrip Racing,,,Toyota,,,Part-Time
M. Ambrose,,,,,,,#47 - JTG Daugherty Racing,,,Toyota,,,Guest
C. Whitt,,,,,,,#84 - Red Bull Racing Team,,,Toyota,,,Guest
J. Lofton,,,,,,,#71 - Red Horse Racing,,,Toyota,,,Guest
R. Gordon,,,,,,,#07 - Robby Gordon Motorsports,,,Toyota,,,Guest
B. Rowe,,,,,,,#75 - Herd Racing,,,Chevrolet,,,Guest
S. Lagasse Jr.,,,,,,,#43 - Baker Curb Racing,,,Chevrolet,,,Part-Time
D. Neuenberger,,,,,,,#52 - Means Racing,,,Chevrolet,,,Part-Time
D. O'Quinn Jr.,,,,,,,#90 - D'Hondt Humphrey Motorsports,,,Chevrolet,,,Part-Time
K. Lepage,,,,,,,#56 - Mac Hill Motorsports,,,Chevrolet,,,Part-Time
J. Borneman III.,,,,,,,#83 - Borneman Motorsports,,,Dodge,,,Part-Time
J. J. Cobb,,,,,,,#13 - Jennifer Jo Cobb Racing,,,Dodge,,,Guest
