Name,Age,Speed,Skill,Preference,Traits,Funding,Team,Chassis,Reliability,Supplier,Power,Strategy,Contract
E. MacDonald,,,,,,,#71 - Grimm Racing,,,Ford,,Guest,
W. Kimmel,,,,,,,#44 - Kimmel Racing,,,Ford,,Guest,
J. Smith,,,,,,,#63 - MB Motorsports,,,Ford,,Guest,
R. Hackett,,,,,,,#76 - Ray Hackett Racing,,,Ford,,Guest,
R. Brand,,,,,,,#37 - Robbie Brand Racing,,,Ford,,Guest,
T. Musgrave,,,,,,,#15 - Billy Ballew Motorsports,,,Toyota,,Part-Time,
M. Papis,,,,,,,#9  - Germain Racing,,,Toyota,,Part-Time,
M. Paludo,,,,,,,#77 - Germain Racing,,,Toyota,,Part-Time,
T. Malsam,,,,,,,#56 - Kyle Busch Racing,,,Toyota,,Part-Time,
M. Lofton,,,,,,,#97 - Matt Lofton Motorsports,,,Toyota,,Guest,
J. Long,,,,,,,#20 - Panhandle Motorsports,,,Toyota,,Guest,
N. Piquet Jr.,,,,,,,#1  - Red Horse Racing,,,Toyota,,Guest,
S. Park,,,,,,,#41 - Sharp-Hartman Racing,,,Toyota,,Guest,
J. J. Yeley,,,,,,,#01 - Daisy Ramirez Motorsports,,,Chevrolet,,Part-Time,
D. Lia,,,,,,,#21 - SS-Green Light Racing,,,Chevrolet,,Part-Time,
M. Harmon,,,,,,,#24 - Lafferty Motorsports/Mike Harmon Racing,,,Chevrolet,,Part-Time,
C. Fontaine,,,,,,,#84 - Glenden Enterprises,,,Chevrolet,,Part-Time,
B. Sweet,,,,,,,#90 - Stringer Motorsports,,,Chevrolet,,Part-Time,
J. Benson Jr.,,,,,,,#95 - Team Gill Racing,,,Dodge,,Part-Time,
