Name,Nationality,Age,Speed,Skill,Experience,Morale,Discipline,Preference,Traits,Fame,Reputation,Partner,Relations,Team,Activity,Interest
B. Coleman,USA,22,50,45,0.78,0.5,StockCar,Oval,Inconsistent|NoFunding,0.1,0.1,,Fair,#96 - Hall of Fame Racing,2008,1
J. Villeneuve,Canada,38,54,50,0.5,0.5,OpenWheel,Road,RacingFamily|Inconsistent,0.65,0.3,,Fair,#27 - Bill Davis Racing,2008,1
K. Wallace,USA,46,49,52.5,1,0.5,StockCar,Oval,RacingFamily,0.4,0.35,,Fair,#00 - Michael Waltrip Racing,2008,1
B. Lamar,USA,29,47.5,45,0.85,0.5,StockCar,Oval,,0.2,0.15,,Fair,#08 - E&M Racing,2008,1
J. Benson Jr.,USA,46,47.5,47.5,1,0.5,StockCar,Oval,Inconsistent,0.4,0.3,,Poor,#27 - Bill Davis Racing,2008,1
J. Green,USA,47,49.5,48.5,1,0.5,StockCar,Oval,,0.3,0.25,,Fair,#34 - Front Row Motorsports,2008,1
C. Chaffin,USA,41,42.5,44,0.9,0.5,StockCar,Oval,,0.15,0.15,,Fair,#34 - Front Row Motorsports,2008,1
B. Clauson,USA,20,47.5,42.5,0.5,0.5,StockCar,Oval,Adaptive,0.15,0.2,,Fair,#40 - Chip Ganassi Racing,2008,1
R. Rudd,USA,53,46,47.5,1,0.5,StockCar,Both,SemiRetired,0.7,0.35,,Fair,#88 - Yates Racing,2007,1
W. Burton,USA,48,48,49,1,0.5,StockCar,Oval,RacingFamily,0.45,0.3,,Fair,#4  - Morgan-McClure Motorsports,2007,1
B. Leitzinger,USA,41,47.5,52.5,0.5,0.5,Endurance,Road,,0.2,0.25,,Fair,#23 - Bill Davis Racing,2007,1
M. Goossens,Belgium,40,52.5,51,0.5,0.5,OpenWheel,Road,Adaptive,0.1,0.3,,Fair,#91 - Riley-D'Hondt Motorsports,2007,1
F. Kimmel,USA,48,54,56,1,0.5,StockCar,Oval,,0.3,0.1,,Poor,#71 - Fast Track Racing Enterprises,2007,1
B. Whitt,USA,27,47.5,42.5,0.8,0.5,StockCar,Oval,,0.15,0.15,,Fair,#72 - CJM Racing,2007,1
K. Graf,Germany,40,51,52.5,0.5,0.5,Endurance,Road,,0.1,0.2,,Fair,#49 - BAM Racing,2007,1
L. Foyt,USA,33,45,47.5,0.6,0.5,StockCar,Oval,RacingFamily,0.35,0.25,,Fair,#49 - BAM Racing,2007,1
H. Sadler III.,USA,41,50,47.5,1,0.5,StockCar,Oval,RacingFamily,0.25,0.25,,Fair,#00 - Michael Waltrip Racing,2006,1
S. Park,USA,42,44,45,0.82,0.5,StockCar,Oval,,0.35,0.2,,Fair,#7  - Ultra Motorsports,2004,1
B. Gaughan,USA,34,45,47.5,0.9,0.5,StockCar,Oval,SuperspeedwaySpecialist,0.35,0.25,,Fair,#77 - Penske-Jasper Racing,2004,1
T. Musgrave,USA,54,42.5,46,1,0.5,StockCar,Oval,SemiRetired,0.35,0.2,,Fair,#7  - Ultra Motorsports,2003,1
