Name,Nationality,Age,Speed,Skill,Experience,Morale,Discipline,Preference,Traits,Fame,Reputation,Contract,Target,Relations,Team,Color,Sponsor,Status,Chassis,Performance,Aero,Gearbox,Suspension,Brakes,Reliability,Characteristics,Wear,Supplier,Power,Tires,Grip,Strategist
A. Sutil,Germany,27,68,60,1,0.6,OpenWheel,Road,ShortTemper,0.45,0.55,2|Season,15,Fair,#14 - Force India,White,Kingfisher,,2010|Force India VJM03,62,80,80,80,80,0.65,,0,Mercedes,45,Bridgestone,-5,Fair
V. Liuzzi,Italy,29,52,55,1,0.7,OpenWheel,Road,,0.35,0.4,2|Season,18,Fair,#15 - Force India,White,Kingfisher,,2010|Force India VJM03,62,80,80,80,80,0.65,,0,Mercedes,45,Bridgestone,-5,Fair
S. Buemi,Switzerland,21,60,58,1,0.6,OpenWheel,Road,,0.3,0.45,1|Season,15,Fair,#16 - Scuderia Toro Rosso,Dark Blue,Red Bull,,2010|Toro Rosso STR5,60,82,82,82,82,0.65,,0,Ferrari,50,Bridgestone,-5,Poor
J. Alguersuari,Spain,20,58,45,0.92,0.7,OpenWheel,Road,,0.25,0.3,1|Season,15,Great,#17 - Scuderia Toro Rosso,Dark Blue,Red Bull,,2010|Toro Rosso STR5,60,82,82,82,82,0.65,,0,Ferrari,50,Bridgestone,-5,Poor
J. Trulli,Italy,35,65,55,1,0.5,OpenWheel,Road,,0.5,0.45,1|Season,18,Fair,#18 - Lotus Racing,Dark Green,Tune Group,,2010|Lotus T127,32,80,80,80,80,0.6,,0,Cosworth,35,Bridgestone,-5,Fair
H. Kovalainen,Finland,28,65,68,1,0.5,OpenWheel,Road,,0.6,0.5,1|Season,15,Fair,#19 - Lotus Racing,Dark Green,Tune Group,,2010|Lotus T127,32,80,80,80,80,0.6,,0,Cosworth,35,Bridgestone,-5,Fair
K. Chandhok,India,26,35,42,1,0.6,OpenWheel,Road,PayDriver,0.3,0.15,10|Race,20,Fair,#20 - Hispania Racing Team,Gray,,,2010|Hispania F110,22,75,75,75,75,0.4,,0,Cosworth,30,Bridgestone,-5,Poor
B. Senna,Brazil,26,48,45,0.98,0.7,OpenWheel,Road,RacingFamily|PersonalSponsors,0.4,0.25,1|Season,20,Fair,#21 - Hispania Racing Team,Gray,,,2010|Hispania F110,22,75,75,75,75,0.4,,0,Cosworth,30,Bridgestone,-5,Poor
K. Kobayashi,Japan,23,62,70,1,0.7,OpenWheel,Road,Heroic,0.5,0.5,1|Season,15,Fair,#23 - BMW Sauber,White,,,2010|Sauber C29,55,82,82,82,82,0.45,,0,Ferrari,50,Bridgestone,-5,Poor
P. de la Rosa,Spain,38,52,48,0.95,0.7,OpenWheel,Road,Passive,0.35,0.55,1|Season,18,Fair,#22 - BMW Sauber,White,,,2010|Sauber C29,55,82,82,82,82,0.45,,0,Ferrari,50,Bridgestone,-5,Poor
T. Glock,Germany,27,62,60,1,0.5,OpenWheel,Road,,0.45,0.5,2|Season,18,Poor,#24 - Virgin Racing,Light Red,Virgin Racing,,2010|Virgin VR-01,25,72,72,72,72,0.55,,0,Cosworth,35,Bridgestone,-5,Poor
L. di Grassi,Brazil,26,55,48,0.95,0.7,OpenWheel,Road,,0.3,0.3,1|Season,20,Fair,#25 - Virgin Racing,Light Red,Virgin Racing,,2010|Virgin VR-01,25,72,72,72,72,0.55,,0,Cosworth,35,Bridgestone,-5,Poor
