Name,Nationality,Age,Speed,Skill,Experience,Morale,Discipline,Preference,Traits,Fame,Reputation,Contract,Target,Relations,Team,Color,Status,Sponsor,Branding,Commitment,Chassis,Performance,Aero,Gearbox,Suspension,Brakes,Reliability,Characteristics,Wear,Supplier,Power,Tires,Grip,Strategist
P. Menard,USA,29,55,62,1,0.8,StockCar,Oval,WealthyFamily,0.3,0.25,1|Season,25,Great,#98 - Richard Petty Motorsports,White,,Menards,Neon Yellow,Title|2|Season,2010|Ford Fusion,72,85,85,85,85,0.8,,0,Ford,38,Goodyear,-2,Fair
D. Ragan,USA,24,65,65,1,0.7,StockCar,Oval,Insecure,0.35,0.45,2|Season,15,Fair,#6  - Roush Fenway Racing,White,,UPS,Brown|Silver|Army,Title|1|Season,2010|Ford Fusion,72,85,85,85,85,0.8,,0,Ford,38,Goodyear,-2,Fair
G. Biffle,USA,40,80,85,1,0.7,StockCar,Oval,,0.65,0.8,2|Season,10,Great,#16 - Roush Fenway Racing,White,,3M,White,Title|15|Race,2010|Ford Fusion,72,85,85,85,85,0.8,,0,Ford,38,Goodyear,-2,Fair
M. Kenseth,USA,38,70,82,1,0.7,StockCar,Oval,,0.65,0.75,3|Season,12,Fair,#17 - Roush Fenway Racing,White,,Crown Royal,Violet,Premier|1|Race,2010|Ford Fusion,72,85,85,85,85,0.8,,0,Ford,38,Goodyear,-2,Great
C. Edwards,USA,30,75,88,1,0.7,StockCar,Oval,,0.6,0.8,2|Season,8,Fair,#99 - Roush Fenway Racing,White,,Aflac,Black|Silver,Title|2|Season,2010|Ford Fusion,72,85,85,85,85,0.8,,0,Ford,38,Goodyear,-2,Great
M. Papis,Italy,40,58,50,0.78,0.6,OpenWheel,Road,,0.15,0.35,1|Season,,Fair,#13 - Germain Racing,Blue,Limited,GEICO,Blue,Premier|1|Race,2010|Toyota Camry,75,88,88,88,88,0.8,,0,Toyota,45,Goodyear,-2,Fair
D. Hamlin,USA,29,85,75,1,0.5,StockCar,Oval,ShortTrackSpecialist,0.65,0.6,1|Season,6,Fair,#11 - Joe Gibbs Racing,White,,FedEx,Black|White,Title|1|Season,2010|Toyota Camry,75,88,88,88,88,0.8,,0,Toyota,45,Goodyear,-2,Excellent
Ky. Busch,USA,25,80,75,1,0.8,StockCar,Oval,Adaptive|ShortTrackSpecialist|ShortTemper|Emotional|RacingFamily|GoodInstincts,0.55,0.6,1|Season,4,Fair,#18 - Joe Gibbs Racing,White,,M&M's,Yellow|Blue|Green,Title|2|Season,2010|Toyota Camry,75,88,88,88,88,0.8,,0,Toyota,45,Goodyear,-2,Great
J. Logano,USA,20,75,78,0.85,0.7,StockCar,Oval,GoodInstincts,0.3,0.4,2|Season,15,Fair,#20 - Joe Gibbs Racing,White,,Home Depot,Orange,Title|2|Season,2010|Toyota Camry,75,88,88,88,88,0.8,,0,Toyota,45,Goodyear,-2,Fair
M. Ambrose,Australia,33,75,70,1,0.6,Any,Road,,0.35,0.55,1|Season,22,Fair,#47 - Michael Waltrip Racing/JTG Daugherty Racing,Dark Blue,,Kroger,Red,Premier|1|Race,2010|Toyota Camry,75,88,88,88,88,0.8,,0,Toyota,45,Goodyear,-2,Poor
D. Reutimann,USA,40,65,70,1,0.7,StockCar,Oval,,0.5,0.55,1|Season,18,Fair,#00 - Michael Waltrip Racing,White,,Aaron's,Black|White|Dark Blue|Army,Title|2|Season,2010|Toyota Camry,75,88,88,88,88,0.8,,0,Toyota,45,Goodyear,-2,Fair
M. Truex Jr.,USA,29,68,68,1,0.7,StockCar,Oval,Heroic,0.45,0.6,2|Season,18,Fair,#56 - Michael Waltrip Racing,Dark Blue,,NAPA,Dark Blue,Title|1|Season,2010|Toyota Camry,75,88,88,88,88,0.8,,0,Toyota,45,Goodyear,-2,Poor
D. Blaney,USA,47,55,48,1,0.5,StockCar,Oval,,0.4,0.35,22|Race,25,Fair,#66 - Prism Motorsports,Blue,StartAndPark,,,,2009|Toyota Camry,75,88,88,88,88,0.75,,0.1,Toyota,45,Goodyear,-2,Poor
J. Nemechek,USA,46,52,42,1,0.8,StockCar,Oval,,0.25,0.3,3|Season,35,Excellent,#87 - NEMCO Motorsports,Dark Blue|Silver,StartAndPark,,,,2010|Toyota Camry,75,88,88,88,88,0.8,,0,Toyota,45,Goodyear,-2,Poor
S. Speed,USA,27,60,50,0.98,0.6,Any,Road,SuperspeedwaySpecialist,0.45,0.3,1|Season,20,Fair,#82 - Red Bull Racing Team,Blue Purple,,Red Bull,Silver,Title|3|Season,2010|Toyota Camry,75,88,88,88,88,0.8,,0,Toyota,45,Goodyear,-2,Poor
B. Vickers,USA,26,75,65,1,0.7,StockCar,Oval,Inconsistent|InjuryProne,0.4,0.45,2|Season,20,Fair,#83 - Red Bull Racing Team,Blue Purple,,Red Bull,Blue Purple,Title|3|Season,2010|Toyota Camry,75,88,88,88,88,0.8,,0,Toyota,45,Goodyear,-2,Fair
R. Gordon,USA,41,65,52,1,0.5,Any,Road,ShortTemper|Emotional,0.55,0.4,8|Race,30,Fair,#7  - Robby Gordon Motorsports,Black,,Monster Energy,Black,Premier|1|Race,2010|Toyota Camry,75,88,88,88,88,0.8,,0,Toyota,45,Goodyear,-2,Poor
C. Mears,USA,32,60,60,1,0.5,StockCar,Oval,,0.3,0.25,6|Race,,Poor,#90 - Keyed-Up Motorsports,White|Black,Limited,,,,2008|Chevrolet Impala,75,88,88,88,88,0.8,,0.2,Chevrolet,48,Goodyear,-2,Poor
K. Lepage,USA,47,52,45,1,0.6,StockCar,Oval,,0.2,0.4,2|Race,,Fair,#4  - Morgan-McClure Motorsports,Black,Guest,Alpha Natural Resources,Turquoise,Secondary|2|Race,2010|Chevrolet Impala,78,90,90,90,90,0.85,,0,Chevrolet,48,Goodyear,-2,Fair
N. Benning,USA,58,20,28,1,0.6,StockCar,Oval,GentlemanDriver|SemiRetired,0.05,0.1,1|Season,,Fair,#57 - Norm Benning Racing,Black,Premier|StartAndPark,,,,2008|Chevrolet Impala,75,88,88,88,88,0.85,,0.2,Chevrolet,48,Goodyear,-2,Poor
T. Labonte,USA,53,40,52,1,0.5,StockCar,Oval,SemiRetired|RacingFamily,0.7,0.55,4|Race,,Fair,#10 - Stavola Labonte Racing,White,Guest,Gander Mountain,White,Title|5|Race,2009|Chevrolet Impala,78,90,90,90,90,0.85,,0.1,Chevrolet,48,Goodyear,-2,Fair
Jo. Sauter,USA,32,50,40,1,0.6,StockCar,Oval,RacingFamily,0.2,0.25,5|Race,,Fair,#35 - Tommy Baldwin Racing,Red|White,Guest,,,,2009|Chevrolet Impala,75,88,88,88,88,0.8,,0.2,Chevrolet,48,Goodyear,-2,Poor
B. Ash,USA,32,38,25,0.7,0.7,StockCar,Road,,0.05,0.05,1|Season,,Fair,#02 - Ash Racing,White,Guest,Start,,,2008|Dodge Charger,68,80,80,80,80,0.7,ShortTrackSpecialist,0.2,Dodge,42,Goodyear,-2,Poor
M. Wallace,USA,51,30,40,1,0.6,StockCar,Oval,RacingFamily,0.2,0.35,1|Race,,Fair,#92 - K-Automotive Motorsports,Red|White,Premier,,,,2009|Dodge Charger,70,82,82,82,82,0.75,ShortTrackSpecialist,0.1,Dodge,42,Goodyear,-2,Poor
D. Cope,USA,51,35,30,1,0.8,StockCar,Oval,,0.15,0.25,1|Race,,Fair,#75 - Stratus Racing Group Inc.,White,Premier|StartAndPark,StrutmastersPro,Black,Premier|1|Race,2008|Dodge Charger,68,80,80,80,80,0.75,ShortTrackSpecialist,0.2,Dodge,42,Goodyear,-2,Poor
J. J. Yeley,USA,33,50,52,1,0.6,StockCar,Oval,,0.25,0.3,1|Race,,Fair,#81 - Whitney Motorsports,White,Guest,,,,2008|Dodge Charger,68,80,80,80,80,0.75,ShortTrackSpecialist,0.2,Dodge,42,Goodyear,-2,Poor
B. Elliott,USA,54,55,50,1,0.8,StockCar,Oval,SuperspeedwaySpecialist|SemiRetired,0.8,0.65,8|Race,,Great,#21 - Wood Brothers Racing,Red,Limited,Motorcraft,Red|Light Blue,Title|1|Season,2010|Ford Fusion,72,85,85,85,85,0.8,,0,Ford,38,Goodyear,-2,Fair
D. Gilliand,USA,34,50,50,1,0.6,StockCar,Oval,SuperspeedwaySpecialist,0.2,0.35,1|Race,,Fair,#49 - BAM Racing,Blue,Premier,Warner Brothers,Blue,Premier|1|Race,2010|Toyota Camry,75,88,88,88,88,0.8,,0,Toyota,45,Goodyear,-2,Poor
R. Sorenson,USA,24,55,48,1,0.5,StockCar,Oval,,0.35,0.4,5|Races,,Fair,#32 - Braun Racing,Light Yellow,Limited,Dollar General,Light Yellow,Title|8|Race,2010|Toyota Camry,75,88,88,88,88,0.8,,0,Toyota,45,Goodyear,-2,Poor
T. Raines,USA,44,45,48,1,0.5,StockCar,Oval,,0.2,0.35,1|Race,,Fair,#64 - Gunselman Motorsports,Silver,Limited|StartAndPark,,,,2009|Toyota Camry,70,82,82,82,82,0.8,,0.1,Toyota,45,Goodyear,-2,Poor
T. Bodine,USA,46,40,45,1,0.7,StockCar,Oval,RacingFamily,0.4,0.5,1|Race,,Fair,#27 - Kirk Shelmerdine Racing,Black,Guest,,,,2009|Toyota Camry,75,88,88,88,88,0.75,,0.1,Toyota,45,Goodyear,-2,Poor
M. Waltrip,USA,47,50,50,1,0.8,StockCar,Oval,SuperspeedwaySpecialist|SemiRetired,0.55,0.45,4|Race,,Great,#51 - Michael Waltrip Racing,Dark Blue,Premier,NAPA,Dark Blue,Premier|1|Race,2010|Toyota Camry,75,88,88,88,88,0.8,,0,Toyota,45,Goodyear,-2,Fair
M. McDowell,USA,25,50,42,0.95,0.6,StockCar,Oval,Solid|GoodInstincts,0.1,0.25,26|Race,35,Fair,#55 - Prism Motorsports/Michael Waltrip Racing,Dark Blue|White,Insecure|StartAndPark,,,,2009|Toyota Camry,70,82,82,82,82,0.8,,0.1,Toyota,45,Goodyear,-2,Poor
J. Fuller,USA,53,22,30,1,0.6,StockCar,Oval,SemiRetired,0.05,0.05,1|Race,,Fair,#97 - NEMCO Motorsports,Dark Blue,Premier|StartAndPark,FrontRowJoe,Dark Blue,Premier|1|Race,2008|Toyota Camry,70,82,82,82,82,0.75,,0.2,Toyota,45,Goodyear,-2,Poor
J. Wise,USA,27,45,45,0.62,0.6,StockCar,Oval,,0.05,0.15,1|Race,,Fair,#23 - R3 Motorsports,Black,Guest,Pink Blue Two,Pink|Light Blue,Secondary|1|Race,2008|Toyota Camry,70,82,82,82,82,0.75,,0.2,Toyota,45,Goodyear,-2,Poor
P. J. Jones,USA,41,52,45,0.8,0.7,OpenWheel,Road,Adaptive,0.15,0.25,4|Race,,Great,#07 - Robby Gordon Motorsports,White,Guest,SpeedFactory,Black|Orange,Title|1|Race,2009|Toyota Camry,75,88,88,88,88,0.8,,0.1,Toyota,45,Goodyear,-2,Poor
