Name,Nationality,Age,Speed,Skill,Experience,Morale,Discipline,Preference,Traits,Fame,Reputation,Contract,Target,Relations,Team,Color,Sponsor,Status,Chassis,Performance,Aero,Gearbox,Suspension,Brakes,Reliability,Characteristics,Wear,Supplier,Power,Tires,Grip,Strategist
H. Mutoh,Japan,27,45,50,0.95,0.6,OpenWheel,Both,Inconsistent,0.15,0.25,1|Season,15,Fair,#06 - Newman/Haas/Lanigan Racing,White,,,2010|Dallara IR-05,70,80,80,80,80,0.8,,0,Honda,35,Firestone,8,Poor
G. Rahal,USA,21,55,58,0.85,0.7,OpenWheel,Both,GoodInstincts|RacingFamily,0.3,0.4,2|Race,,Fair,#30 - Rahal Letterman Racing,White,QuickTrim,Premier,2010|Dallara IR-05,70,80,80,80,80,0.75,,0,Honda,35,Firestone,8,Fair
M. Duno,Venezuela,38,18,10,0.98,0.7,OpenWheel,Road,FemaleDriver|ShortTemper|PersonalSponsors,0.2,0.1,10|Race,20,Poor,#18 - Dale Coyne Racing,Blue,Citgo,,2010|Dallara IR-05,70,80,80,80,80,0.75,,0,Honda,35,Firestone,8,Poor
A. Lloyd,UK,25,60,58,0.88,0.7,OpenWheel,Both,FastLearner,0.2,0.4,1|Season,15,Poor,#19 - Dale Coyne Racing,Blue,,,2010|Dallara IR-05,70,80,80,80,80,0.75,,0,Honda,35,Firestone,8,Fair
D. Wheldon,UK,31,72,75,1,0.7,OpenWheel,Oval,SuperspeedwaySpecialist|Heroic,0.6,0.75,1|Season,12,Fair,#4  - Panther Racing,Dark Blue,National Guard,,2010|Dallara IR-05,70,80,80,80,80,0.8,,0,Honda,30,Firestone,8,Poor
E. Carpenter Jr.,USA,29,52,50,1,0.5,OpenWheel,Oval,Inconsistent,0.35,0.3,1|Season,,Poor,#20 - Vision Racing/Panther Racing,Gray Gold,Fuzzy's,Limited,2010|Dallara IR-05,70,80,80,80,80,0.8,,0,Honda,30,Firestone,8,Poor
R. Matos,Brazil,28,58,52,0.95,0.7,OpenWheel,Road,,0.25,0.3,1|Season,15,Fair,#2  - de Ferran Dragon Racing,Light Gray,,,2010|Dallara IR-05,70,80,80,80,80,0.8,,0,Honda,35,Firestone,8,Fair
D. Hamilton,USA,47,20,32,1,0.8,OpenWheel,Oval,,0.45,0.4,3|Race,,Fair,#21 - de Ferran Dragon Racing,Light Gray,,Premier,2010|Dallara IR-05,70,80,80,80,80,0.8,,0,Honda,35,Firestone,8,Fair
T. Sato,Japan,33,60,45,1,0.6,OpenWheel,Road,Adaptive,0.55,0.45,1|Season,15,Fair,#5  - KV Racing Technology,Dark Green,Lotus,,2010|Dallara IR-05,70,80,80,80,80,0.75,,0,Honda,35,Firestone,8,Fair
E. J. Viso,Venezuela,25,55,48,1,0.7,OpenWheel,Both,PoorCommunicator,0.35,0.3,1|Season,18,Fair,#8  - KV Racing Technology,Light Gray,PDVSA,,2010|Dallara IR-05,70,80,80,80,80,0.75,,0,Honda,35,Firestone,8,Poor
M. Moraes,Brazil,21,58,50,0.95,0.6,OpenWheel,Both,Inconsistent|FastLearner|PersonalSponsors,0.3,0.4,1|Season,16,Fair,#32 - KV Racing Technology,Black,,,2010|Dallara IR-05,70,80,80,80,80,0.75,,0,Honda,35,Firestone,8,Poor
P. Tracy,Canada,41,55,45,1,0.6,OpenWheel,Road,Inconsistent|ShortTemper,0.55,0.5,2|Race,,Fair,#15 - KV Racing Technology,Blue,,Premier,2010|Dallara IR-05,70,80,80,80,80,0.75,,0,Honda,35,Firestone,8,Fair
J. Wilson,UK,31,75,65,1,0.6,OpenWheel,Road,RacingFamily,0.55,0.7,1|Season,12,Fair,#22 - Dreyer & Reinbold Racing,Red,Z-Line Designs,,2010|Dallara IR-05,65,75,75,75,75,0.75,,0,Honda,35,Firestone,8,Fair
M. Conway,UK,26,60,58,0.92,0.7,Any,Road,StreetTrackSpecialist|Inconsistent,0.3,0.4,1|Season,15,Fair,#24 - Dreyer & Reinbold Racing,Dark Blue,Dad's Root Beer,,2010|Dallara IR-05,65,75,75,75,75,0.75,,0,Honda,35,Firestone,8,Fair
A. Beatriz,Brazil,20,48,45,0.85,0.8,OpenWheel,Both,FemaleDriver,0.15,0.2,1|Race,,Fair,#23 - Dreyer & Reinbold Racing,Yellow,Ipiranga,Premier,2010|Dallara IR-05,65,75,75,75,75,0.75,,0,Honda,35,Firestone,8,Poor
S. di Silvestro,Switzerland,21,55,58,0.9,0.7,OpenWheel,Road,FemaleDriver|GoodInstincts,0.15,0.25,1|Season,18,Fair,#78 - HVM Racing,Yellow Orange,FireSky,,2010|Dallara IR-05,70,80,80,80,80,0.75,,0,Honda,30,Firestone,8,Poor
V. Meira,Brazil,33,65,70,1,0.5,OpenWheel,Both,,0.5,0.65,1|Season,15,Poor,#14 - A. J. Foyt Enterprises,White,,,2010|Dallara IR-05,70,80,80,80,80,0.8,,0,Honda,30,Firestone,8,Fair
A. J. Foyt IV.,USA,26,38,48,1,0.4,OpenWheel,Oval,ShortTemper|RacingFamily,0.15,0.2,1|Season,,Poor,#41 - A. J. Foyt Enterprises,White,,Premier,2010|Dallara IR-05,70,80,80,80,80,0.8,,0,Honda,30,Firestone,8,Poor
M. Romancini,Brazil,22,45,38,0.82,0.6,OpenWheel,Both,,0.1,0.3,12|Race,20,Fair,#34 - Conquest Racing,White,Dolly,,2009|Dallara IR-05,65,75,75,75,75,0.75,,0.1,Honda,30,Firestone,8,Poor
B. Baguette,Belgium,24,55,52,1,0.6,OpenWheel,Road,,0.2,0.35,1|Season,18,Fair,#36 - Conquest Racing,Yellow Orange,,Insecure,2009|Dallara IR-05,65,75,75,75,75,0.75,,0.1,Honda,30,Firestone,8,Poor
A. Tagliani,Canada,37,65,55,1,0.7,OpenWheel,Both,,0.55,0.55,2|Season,15,Great,#77 - FAZZT Race Team,White,,,2010|Dallara IR-05,70,80,80,80,80,0.8,,0,Honda,30,Firestone,8,Fair
B. Junqueira,Brazil,33,55,60,1,0.5,OpenWheel,Road,,0.4,0.55,1|Season,,Fair,#33 - FAZZT Race Team,Yellow,,Premier,2009|Dallara IR-05,70,80,80,80,80,0.8,,0.1,Honda,30,Firestone,8,Fair
S. Fisher,USA,29,40,50,1,0.7,OpenWheel,Oval,FemaleDriver,0.3,0.35,1|Season,,Excellent,#67 - Sarah Fisher Racing,Yellow,Dollar General,Limited,2010|Dallara IR-05,70,80,80,80,80,0.8,,0,Honda,30,Firestone,8,Fair
J. Howard,UK,29,52,48,0.78,0.7,OpenWheel,Both,,0.2,0.3,1|Season,,Fair,#66 - Sarah Fisher Racing,Light Yellow,Service Central,Limited,2010|Dallara IR-05,70,80,80,80,80,0.8,,0,Honda,30,Firestone,8,Poor
S. Saavedra,Colombia,19,45,35,0.88,0.8,OpenWheel,Both,,0.1,0.2,2|Race,,Fair,#29 - Bryan Herta Autosport,Gray,William Rast,Premier,2009|Dallara IR-05,65,75,75,75,75,0.75,,0.1,Honda,30,Firestone,8,Fair
T. Bell,USA,35,52,50,1,0.7,OpenWheel,Both,,0.3,0.35,1|Season,,Great,#99 - Sam Schmidt Motorsports/Chip Ganassi Racing,Light Green,Herbalife,Premier,2010|Dallara IR-05,65,75,75,75,75,0.75,,0,Honda,30,Firestone,8,Fair
